Sequence,Speaker,Utterance,Column1
409,M1:,...白總把他 --,
410,M1:,...(1.0)扔去投信了吧 .,
411,M2:,"...對啊 ,",
,M2:,掛個副董沒事幹吧 .,
412,M1:,..對阿副董事長在幹嘛 ?,
413,M2:,..不知道啊@@@@,
414,M1:,(0)不過我倒是很訝異國泰証會找他當總經理 .,
415,M2:,(0)因為國泰証搞不清楚 .,
416,M1:,(0)@@@,
417,M1:,...(1.0)我真得很訝異 .,
418,M2:,"..那時候呀 ,",
419,M2:,"..白總去唷 ,",
420,M1:,"..他找誰當總經理都<L2 OK L2>呀 ,",
,M1:,不要找 --,
421,M1:,..找莉當 --,
422,M2:,..國泰我覺得國泰金控沒有想要花大錢吧 .,
,M2:,他們的證券本來就不做大 .,
,M1,對呀 .,
424,M2:,(0)他只是找個人去管理 .,
425,M1:,...(1.1)對呀 .,
426,M2:,"...(1.0)那時候 ,",
,M2:,"元大併寶來呀 ,",
,M2:,"然後 ,",
427,M2:,"...(1.2)因為後來莉做得那些奇怪的事情 ,",
428,M2:,..他在寶來裡面人緣很差 .,
429,M1:,..對 .,
430,M2:,"(0)因為連仁都很討厭他 ,",
,M2:,"然後一些其他高階主管 ,",
,M2:,洪什麼也都不喜歡他 .,
431,M1:,"(0)洪很討厭他 ,",
,,[<@這都知道@>@] .,
432,M2:,[因為大家 -- ],
433,M2:,"..大家都覺得他 ,",
434,M2:,"...(2.0)在那邊 ,",
435,M1:,...啊 --,
436,M2:,"(0)雞蛋裡挑骨頭 ,",
,M2:,玩一些沒有 --,
,M2:,對[投資沒有助益的事] .,
437,M1:,    [沒有意義的東西] .,
,M1:,沒有賺錢的東西阿 .,
438,M2:,..這 --,
439,M2:,..然後後來讓他想要 --,
440,M2:,"..讓他離開寶來的原因就是因為後來 ,",
441,M2:,"...(1.3)元大併了寶來後有一次 ,",
442,M2:,...他不是請所有的董監 ?,
443,M2:,"...加上所有的 ,",
444,M2:,..應該說是一級主管 .,
445,M1:,(0)寶來董監嗎 ?,
446,M2:,...(1.5)tsk .,
,M2:,我[記得好像]是寶來總監 .,
447,M1:,   [XXXX],
448,M2:,..整個集團的啦 .,
,M2:,"然後還有只要好像副總級[[以上的]]高階主管 ,",
450,M1:,                                        [[um]].,
449,M2:,..他幾乎全部都請 .,
451,M1:,...(1.3)莉 ?,
452,M2:,...那個元大經控嘛 .,
453,M1:,"(0)喔對對對對對對對 ,",
,M1:,我知道 .,
455,M2:,   [在世貿的[XX] .,
454,M1:,               .. [這我知道] .,
,M1:,對對對這我知道 .,
456,M2:,"(0)可是那一次呢 ,",
457,M2:,"..他們就有 ,",
458,M2:,"...(0.8)有漏掉幾個人 ,",
,M2:,我覺得是刻意漏掉 .,
459,M1:,..漏掉莉 ?,
460,M2:,..對 .,
461,M2:,..[然後] --,
462,M1:,  [對阿那天沒]看到他 .,
463,M2:,"..莉呢 ,",
,M2:,"就哭哭啼啼的跑去跟 ,",
464,M1:,...黃董<L3 哭夭 L3> ?,
465,M2:,"...(0.7)跑去跟黃監察哭哭啼啼 ,",
,M2:,"然後又跑去跟那個 ,",
466,M2:,..白太太 .,
,M2:,"就那個 ,",
467,M2:,...魏董哭哭啼啼@ .,
,M2:,"你知道 ,",
,M2:,"那[兩個人] ,",
468,M1:,"   [魏董] ,",
,M1:,魏董根本不管事[[阿]] .,
469,M2:,                         [[對呀]]<@那 --,
470,M2:,"..那這兩位也只能兩手一攤[[[說]]] ,",
472,M1:,                                          [[[對啊]]] .,
471,M2:,..這這個[[[[不是我能決定的]]]]@> .,
473,M1:,...(0.6)  [[[[@@@@@]}]],
474,M2:,"(0)@然後大家心裡就想說可見他人緣多差 ,",
,M2:,沒有人 --,
475,M2:,"..因為元大那時候一定應該已經做過了一個<L2 pool L2> ,",
,M2:,一個普查 .,
476,M1:,"(0)沒有我覺得那個是 ,",
477,M1:,"..我高度懷疑是 ,",
478,M1:,...高階<@主管故意漏掉他@> .,
,M1:,沒道理勝去他沒去耶 .,
479,M1:,..eh老實講真得沒道理 .,
480,M2:,"(0)沒有 ,",
,M2:,"搞不好是有人一直在馬家前面講他壞話 ,",
,M2:,說這個人很糟 .,
481,M1:,(0)應 --,
482,M1:,..應該不至於 .,
483,M2:,(0)@<@這我就不清[楚了]@> .,
484,M1:,                                [應該不是] .,
485,M2:,"..因為勝也很討厭他 ,",
,M2:,我知[[道]] .,
486,M1:,"       [[我知道]]勝很討厭他 ,",
,M1:,"因為他 ,",
487,M1:,..他 --,
488,M1:,..在劉 --,
