Turn,Speaker,Utterance
120,F2:, .. 沒 看到
121,F1:, .. 那 是 Sony 的 是 吧
122,F2:, .. 那 個
122,F2:, ... 之前 我 同學 拿 一 款 不 錯
122,F2:, .. 可是 我 忘記 是 [哪 一 款]
123,F1:, [Sony] 的 嗎
124,F2:, .. 好像 不是 Sony 的
124,F2:, ... 他 那 個 [[好像 是]]
125,F1:, [[Konica 的]]
126,F2:, .. Konica 好像 也 不是
126,F2:, .. eh
126,F2:, .. 是 Panasonic 的 嗎
127,F1:, .. 喔
127,F1:, ... um
127,F1:, .. 它 有 出嗎
128,F2:, .. 好像 有
128,F2:, ... 然 後
129,F1:, .. 還 不 錯 喔
130,F2:, .. 感覺 上 還 不 錯
131,F1:, .. 啊照 出來 呢
132,F2:, .. [也 還好]
133,F1:, [有 看到] 它 的 畫質 嗎
134,F2:, .. 不過 人家 是 技術 比 較好 啦
134,F2:, .. 所以
135,F1:, .. @@@
136,F2:, .. 所以 看
136,F2:, .. 看起來 畫質 是 不 錯
136,F2:, .. 而且 好像
136,F2:, .. 那 個防 手震 的 功能 還 蠻強 的
136,F2:, .. 就是
136,F2:, .. 即使 你 在 火車 上 拍
136,F2:, .. 有沒 有
136,F2:, .. 然後 它 也 不 會說
136,F2:, .. 整個 會
136,F2:, ... <L3 矇去 按 呢 ( (模糊 這樣) ) L3>
137,F1:, .. um um
137,F1:, .. 因 為晃 動
137,F1:, .. 可能 也 有
137,F1:, .. 也 有 關係 吧
137,F1:, .. 我 想
138,F2:, .. 所以 我 就 覺得
138,F2:, .. 那 一 款
138,F2:, .. 還 不 錯
139,F1:, .. um
139,F1:, ... 那
139,F1:, .. 那 可以 考慮 啊
139,F1:, .. 我 之前 也 蠻 想 買
140,F2:, .. 最近
140,F2:, .. 物慾 太 嚴重
141,F1:, .. 甚麼 叫 物慾 太 嚴重
142,F2:, .. 想 買 的 東西 很多
142,F2:, .. 你 看 喔
142,F2:, .. 想 去 穿 耳洞
142,F2:, .. [[就是]] 穿 耳洞
142,F2:, .. 不是 就是 要 買 耳環 嗎
143,F1:, [[um]]
143,F1:, .. 但是 問題 是
143,F1:, .. 如果
143,F1:, ... 皮膚 不是 acid 就 沒有
144,F2:, .. 對 啊
144,F2:, .. 是 沒錯
144,F2:, .. 但 問題 是
144,F2:, .. 還 是 會買 耳環 啊
145,F1:, .. um
146,F2:, .. 然後 再 把 它 改成 夾 的
147,F1:, .. 對
148,F2:, .. 山不轉路 轉
148,F2:, .. 對 啊
148,F2:, .. [然 後 又 想 買]
149,F1:, [除 了 這兩 樣]
149,F1:, .. 數位 相機
149,F1:, .. 還有 甚麼
150,F2:, .. 又 想 買 那 個 甚 麼
150,F2:, .. 隨身 碟
150,F2:, .. 或 隨身 硬碟 之 類 的 東西
151,F1:, .. 為甚 麼
151,F1:, .. [[XXX]]
152,F2:, [[因為 要 寫]] 論文 啊
152,F2:, .. 要不然 幹 嘛 買
152,F2:, .. 買 一些
152,F2:, .. 然後 把 它 存進 去
152,F2:, ... 對 啊
153,F1:, .. 也 對
153,F1:, .. 被 eh 你 這麼 一 說
154,F2:, .. 然後 又 想 買
155,F1:, .. 應該 要 買 硬碟 啦
155,F1:, .. 隨身 碟 那 個
156,F2:, .. 太 小
157,F1:, .. 對 啊
157,F1:, .. 就算 一 G
157,F1:, .. 應該 也 不 夠 吧
158,F2:, .. 可是 隨身碟 有 四十 G耶
158,F2:, .. 我 論文 也 不 到 四十 G
159,F1:, .. 但是 一 G
159,F1:, ... 應該 是 不 太 有 可能
160,F2:, .. um
160,F2:, .. 對 啊
161,F1:, .. 因為
161,F1:, ... 除非 你 都 用 word 檔
162,F2:, .. 我
162,F2:, .. 我 還在 考慮
162,F2:, .. 就 再 買 一 個 隨身 碟
162,F2:, .. 比較 大 的
162,F2:, .. 還 是 說[[買 一 個]]
163,F1:, [[現 在 做 的 最 大]] 的 都 有 一 G 啊
163,F1:, ... 隨身 碟
164,F2:, .. 那 應該 就 可以 啦
165,F1:, .. 一 G
165,F1:, ... 嗎
166,F2:, .. 我 不 知道 啊
167,F1:, .. 就 夠[了 嗎]
168,F2:, [我 對 於] 這種 三 C 產品
168,F2:, .. 沒有 甚麼 太 大 的 感覺
168,F2:, ... 去 看一看
169,F1:, .. 硬
170,F2:, .. 而且 我
170,F2:, .. 要 外型 可愛 的
170,F2:, .. @@
170,F2:, .. 我 是 外貌 協[[會型
170,F2:, .. 對於 產品
170,F2:, .. 我 XXX]]
171,F1:, [[@@@
171,F1:, ... 那 你 去 買 那 個 啊]]
171,F1:, .. 有沒 有
171,F1:, .. 甚麼 <L4 sushi ( (壽司) ) L4> 的 造型
171,F1:, .. 或者是
172,F2:, .. 那 種 不 好 吧
173,F1:, .. 那 真是 超級 無敵 可愛 的 啦
174,F2:, .. 有沒 有 Snoopy
174,F2:, .. 或是 那 種
175,F1:, .. 有 吧
176,F2:, .. 趴 趴熊 的 造型
177,F1:, .. 有 吧
177,F1:, .. 那 個
177,F1:, .. 之前 網路 不是 有 一 陣子 很 [流行]
178,F2:, [可是]網路
178,F2:, .. 搞 不 好 那 個 都 是 在 日本 有 出
178,F2:, .. 台灣 不 一定 有 出
178,F2:, ... 像 那 個 <L4 sushi ( (壽司) ) L4> 的 手機 吊飾
178,F2:, ... 我 在 台灣 好像 沒有 [[看 過]]
179,F1:, [[沒 看]]過 啊
180,F2:, .. 在 日本
180,F2:, .. 日本 才 有
181,F1:, ... 不過 那 是 賣造型 的
181,F1:, .. 因為 上次 我 去 日本
181,F1:, .. 就是
181,F1:, .. 毓
181,F1:, .. 那 個毓 本來 要
181,F1:, ... 說要 買給 她 哥哥
181,F1:, .. 當成 紀念品
182,F2:, .. um
183,F1:, .. 然後 就 說要 去 買 那 個
183,F1:, ... 隨身 碟
184,F2:, .. um
185,F1:, .. 然後 她 就 說eh
185,F1:, .. 那 個 <L4 sushi ( (壽司) ) L4> 那 種 造型 很 可愛 啊
185,F1:, .. 之 類
186,F2:, .. 對 啊
186,F2:, .. [[[沒 錯]]]
187,F1:, [[[然 後 就 去 問]]] 啊
187,F1:, .. 去 秋葉 原 啊
188,F2:, .. 可是 那 個 地方 買 回來 的
188,F2:, .. 跟 台灣 可以 通嗎
189,F1:, .. 可以
189,F1:, .. 隨身碟 是 可以
189,F1:, .. 只有 手機 就 不行
190,F2:, .. 對 啊
